tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,Descricao Chuva,Calor,predicao_xgb_clima,predicao_lr_clima,predicao_rf_clima
1402,1,1569264053,1,3,15,0,0,1309.8188,1164.7893505369082,1260.019144407597
1322,1,1569263510,1,3,15,0,0,1309.8188,1164.788529397502,1260.019144407597
1212,1,1569263100,1,3,15,0,0,1309.8188,1164.7879093843228,1260.019144407597
1231,1,1569262607,1,3,15,0,0,1309.8188,1164.78716385628,1260.019144407597
1466,1,1569261479,1,3,14,0,0,1252.5636,1150.3470767635497,1241.7779432158854
1268,1,1569261204,1,3,14,0,0,1252.5636,1150.3466609010513,1241.7779432158854
1248,1,1569260744,1,3,14,0,0,1252.5636,1150.3459652765084,1241.7779432158854
1225,1,1569260350,1,3,14,0,0,1252.5636,1150.345369458965,1241.7779432158854
1639,1,1569259504,1,3,14,0,0,1252.5636,1150.344090114697,1241.7779432158854
1086,1,1569259383,1,3,14,0,0,1252.5636,1150.343907135198,1241.7779432158854
1281,1,1569258747,1,3,14,0,0,1252.5636,1150.3429453586557,1241.7779432158854
1016,1,1569258176,1,3,14,0,0,1252.5636,1150.3420818768861,1241.7779432158854
1158,1,1569257930,1,3,13,0,0,1238.3529,1135.9033285686062,1241.0706661636675
1183,1,1569257024,1,3,13,0,0,1238.3529,1135.901958490702,1241.0706661636675
1418,1,1569256430,1,3,13,0,0,1238.3529,1135.9010602277056,1241.0706661636675
1074,1,1569256123,1,3,13,0,0,1238.3529,1135.9005959739345,1241.0706661636675
1253,1,1569255405,1,3,13,0,0,1238.3529,1135.8995101947564,1241.0706661636675
1021,1,1569254977,1,3,13,0,0,1238.3529,1135.8988629614862,1241.0706661636675
1445,1,1569254416,1,3,13,0,0,1238.3529,1135.8980146019892,1241.0706661636675
1139,1,1569253426,1,3,12,0,0,1238.3529,1121.4581361966218,1239.1759884852197
1142,1,1569253047,1,3,12,0,0,1238.3529,1121.457563062488,1239.1759884852197
1214,1,1569252632,1,3,12,0,0,1238.3529,1121.4569354881717,1239.1759884852197
1555,1,1569251839,1,3,12,0,0,1238.3529,1121.4557362919488,1239.1759884852197
865,1,1569251551,1,3,12,0,0,1238.3529,1121.455300770496,1239.1759884852197
1404,1,1569251209,1,3,12,0,0,1238.3529,1121.4547835887709,1239.1759884852197
1000,1,1569250130,1,2,11,0,0,1214.8157,1107.0147705951765,1219.702516021733
1104,1,1569249933,1,2,11,0,0,1214.8157,1107.0144726864048,1219.702516021733
1118,1,1569248923,1,2,11,0,0,1214.8157,1107.0129453368652,1219.702516021733
1252,1,1569248566,1,2,11,0,0,1214.8157,1107.0124054717305,1219.702516021733
1120,1,1569248277,1,2,11,0,0,1214.8157,1107.0119684380504,1219.702516021733
1254,1,1569247797,1,2,11,0,0,1214.8157,1107.0112425689624,1219.702516021733
1111,1,1569246622,1,2,10,0,0,1136.4689,1092.5710844015505,1185.877782155381
1462,1,1569245708,1,2,10,0,0,1136.4689,1092.5697022258285,1185.877782155381
1065,1,1569245038,1,2,10,0,0,1136.4689,1092.5686890335594,1185.877782155381
1132,1,1569244815,1,2,10,0,0,1136.4689,1092.5683518068788,1185.877782155381
1163,1,1569243816,1,2,10,0,0,1136.4689,1092.5668410918386,1185.877782155381
1123,1,1569243157,1,2,9,0,0,1074.6443,1078.127463233697,1092.441280394933
1135,1,1569242626,1,2,9,0,0,1074.6443,1078.126660241018,1092.441280394933
1104,1,1569242247,1,2,9,0,0,1074.6443,1078.1260871068837,1092.441280394933
893,1,1569241846,1,2,9,0,0,1074.6443,1078.1254807037496,1092.441280394933
989,1,1569241424,1,2,9,0,0,1074.6443,1078.1248425438428,1092.441280394933
1075,1,1569240981,1,2,9,0,0,1074.6443,1078.1241726271635,1092.441280394933
1362,1,1569240283,1,2,9,0,0,1074.6443,1078.123117092531,1092.441280394933
976,1,1569240075,1,2,9,0,0,1074.6443,1078.1228025492594,1092.441280394933
1046,1,1569239442,1,2,8,0,0,1068.481,1063.6834640090267,1076.0446514125952
1245,1,1569238838,1,2,8,0,0,1068.481,1063.6825506237576,1076.0446514125952
1039,1,1569238451,1,2,8,0,0,1068.481,1063.6819653918053,1076.0446514125952
1118,1,1569237922,1,2,8,0,0,1068.481,1063.6811654235805,1076.0446514125952
1022,1,1569237607,1,2,8,0,0,1068.481,1063.6806890719915,1076.0446514125952
1059,1,1569237256,1,2,8,0,0,1068.481,1063.6801582802207,1076.0446514125952
1101,1,1569236926,1,2,8,0,0,1068.481,1063.6796592452226,1076.0446514125952
1022,1,1569236120,1,2,7,0,0,1060.5521,1049.2400590896725,1084.7820792419577
1057,1,1569235785,1,2,7,0,0,1060.5521,1049.239552493538,1084.7820792419577
1017,1,1569235579,1,2,7,0,0,1060.5521,1049.239240974721,1084.7820792419577
1178,1,1569234916,1,2,7,0,0,1060.5521,1049.2382383680426,1084.7820792419577
