tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,predicao_xgb,predicao_lr,predicao_rf
966,7,1569751003,1,2,959.4996,1036.5535767787223,938.745
808,7,1569750051,1,2,910.22534,1036.5681553386603,931.82
1204,7,1569749019,1,2,1044.2667,1036.5839589876668,1064.87
810,7,1569748296,1,2,858.82855,1036.5950307301391,906.91
810,7,1569747462,1,2,858.82855,1036.6078022836955,845.42
916,7,1569745748,1,2,858.82855,1036.6340498170248,871.58
774,7,1569744662,1,2,831.52515,1036.6506804011515,813.36
768,7,1569728506,1,1,796.9573,948.7217909893589,871.785
962,7,1569726680,1,1,928.8216,948.7497536473857,947.445
863,6,1569725289,1,4,1020.09906,1229.0714105381376,970.58
1168,6,1569724194,1,4,1138.7588,1229.0881789447885,1127.285
1100,6,1569723689,1,4,1112.5193,1229.0959123195425,1149.13
1428,6,1569722257,1,4,1289.1125,1229.1178414138994,1343.285
1281,6,1569721596,1,4,1248.3201,1229.1279637123444,1222.97
1062,6,1569720969,1,4,1106.5764,1229.13756534793,1118.32
1044,6,1569720156,1,4,1028.7151,1229.1500153156085,1040.025
880,6,1569719230,1,4,906.51404,1229.1641957215943,858.735
668,6,1569718559,1,4,848.23706,1229.1744711561696,778.41
1193,6,1569717805,1,4,1110.0298,1229.1860176206574,1110.895
1113,6,1569717364,1,4,1087.8297,1229.1927709241572,1082.295
972,6,1569716085,1,4,993.9576,1229.212357035667,973.54
876,6,1569715244,1,4,993.9576,1229.2252357845173,942.93
1059,6,1569714565,1,4,1068.6707,1229.2356337280034,1092.615
1236,6,1569714112,1,4,1180.3042,1229.2425707948605,1165.335
1218,6,1569712803,1,4,1180.3042,1229.2626163147725,1159.225
983,6,1569711950,1,4,1091.8268,1229.2756788269835,1047.755
1142,6,1569711460,1,4,1135.9492,1229.28318249754,1115.915
1265,6,1569710760,1,4,1215.1527,1229.293902026904,1209.375
1298,6,1569709124,1,4,1215.1527,1229.3189550983916,1258.2
1120,6,1569708641,1,4,1149.9678,1229.3263515736508,1176.975
1232,6,1569708011,1,4,1165.5199,1229.3359991500802,1209.305
1180,6,1569706602,1,4,1165.5199,1229.3575760313288,1164.495
1081,6,1569705881,1,4,1142.3594,1229.3686171465743,1126.395
1207,6,1569705455,1,4,1142.3594,1229.375140745873,1174.725
1164,6,1569704554,1,4,1142.3594,1229.3889383115275,1170.235
1218,6,1569704146,1,3,1284.872,1141.218890116259,1251.47
1333,6,1569703175,1,3,1284.872,1141.233759634848,1285.545
1153,6,1569702120,1,3,1271.2355,1141.2499154969628,1214.955
1315,6,1569701413,1,3,1300.2653,1141.2607422216206,1312.34
1383,6,1569700880,1,3,1323.6168,1141.26890437755,1338.0
1331,6,1569699333,1,3,1315.8169,1141.2925945374482,1288.61
1035,6,1569698616,1,3,1193.3528,1141.30357439824,1159.915
1438,6,1569697839,1,3,1349.2404,1141.3154730758324,1357.36
1253,6,1569697421,1,3,1321.4904,1141.321874166224,1295.53
1404,6,1569696132,1,3,1375.4501,1141.341613413868,1377.02
1633,6,1569694345,1,3,1440.87,1141.3689788409756,1552.3
1502,6,1569693452,1,3,1440.87,1141.3826538977228,1444.835
1229,6,1569692807,1,3,1284.2887,1141.3925311783496,1290.885
1369,6,1569692445,1,3,1323.1387,1141.3980747063943,1346.17
1210,6,1569690791,1,3,1247.8877,1141.4234034229194,1195.33
1130,6,1569690318,1,3,1247.8877,1141.4306467620481,1167.93
1256,6,1569690173,1,3,1247.8877,1141.432867235988,1218.96
1208,6,1569689241,1,3,1247.8877,1141.4471395236542,1242.46
1485,6,1569688193,1,3,1360.1522,1141.4631881904752,1401.91
