tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,data_partida2,predicao_xgb 14 79,predicao_rf 14 79,predicao_lr 14 79,predicao_xgb 28 65,predicao_rf 28 65,predicao_lr 28 65,predicao_xgb 42 51,predicao_rf 42 51,predicao_lr 42 51,predicao_xgb 56 37,predicao_rf 56 37,predicao_lr 56 37,predicao_xgb 70 23,predicao_lr 70 23,predicao_rf 70 23
1198,4,1568905545,1,3,12,2019-09-19 12:05:45,1200.6757,1158.334122956935,859.2030363263475,1197.8865,1194.5565827364862,1031.648554675765,1279.4141,1266.173780082359,1202.5579129778562,1227.0189,1217.1812735015772,1166.0965914036933,1272.2388,1161.0800433708328,1259.662107868785
1281,4,1568907107,1,3,12,2019-09-19 12:31:47,1200.6757,1158.334122956935,859.1362173705129,1197.8865,1194.5565827364862,1031.623923002182,1279.4141,1266.173780082359,1202.5779325114381,1227.0189,1217.1812735015772,1166.1059510373252,1272.2388,1161.0880890608623,1259.662107868785
1261,4,1568907658,1,3,12,2019-09-19 12:40:58,1200.6757,1158.334122956935,859.1126467913418,1197.8865,1194.5565827364862,1031.6152341083653,1279.4141,1266.173780082359,1202.5849944595866,1227.0189,1217.1812735015772,1166.1092526750544,1272.2388,1161.0909272011986,1259.662107868785
1140,4,1568908220,1,3,12,2019-09-19 12:50:20,1200.6757,1158.334122956935,859.0886056561576,1197.8865,1194.5565827364862,1031.6063717520556,1279.4141,1266.173780082359,1202.5921973903605,1227.0189,1217.1812735015772,1166.1126202256964,1272.2388,1161.093822001324,1259.662107868785
1242,4,1568911862,1,3,13,2019-09-19 13:51:02,1200.6757,1149.9526871906135,877.0542209536361,1198.897,1199.4730914154088,1048.9418323165592,1279.4141,1260.6211351827653,1220.3146938417376,1231.8855,1214.1003911819025,1183.161725735792,1272.2388,1177.4463726557806,1254.2350905448654
1335,4,1568912439,1,3,14,2019-09-19 14:00:39,1251.0076,1197.6970103387498,895.1509502713598,1251.8073,1229.0456925979856,1066.3256258385154,1299.0087,1270.8179294575373,1237.9979074055227,1256.2318,1235.1926230474735,1200.1924655115217,1286.5707,1193.783135832683,1253.6166861551444
1373,4,1568914161,1,3,14,2019-09-19 14:29:21,1251.0076,1197.6970103387498,895.0772868642234,1251.8073,1229.0456925979856,1066.2984710741657,1299.0087,1270.8179294575373,1238.0199775955516,1256.2318,1235.1926230474735,1200.2027838784343,1286.5707,1193.7920056650964,1253.6166861551444
1098,4,1568914737,1,3,14,2019-09-19 14:38:57,1251.0076,1197.6970103387498,895.0526468395401,1251.8073,1229.0456925979856,1066.289387947414,1299.0087,1270.8179294575373,1238.0273599587672,1256.2318,1235.1926230474735,1200.2062353182373,1286.5707,1193.7949725776807,1253.6166861551444
1327,4,1568915430,1,3,14,2019-09-19 14:50:30,1251.0076,1197.6970103387498,895.0230018098373,1251.8073,1229.0456925979856,1066.2784598105427,1299.0087,1270.8179294575373,1238.0362418645127,1256.2318,1235.1926230474735,1200.2103878317503,1286.5707,1193.7985421443836,1253.6166861551444
1327,4,1568916058,1,3,15,2019-09-19 15:00:58,1323.9062,1251.9537568402136,913.1175494587078,1304.0951,1255.8935472089138,1083.6614490973152,1337.0348,1293.572174240559,1255.720109075035,1310.0524,1304.762331336181,1217.2414332037115,1338.99,1210.1355680166716,1292.9477473922411
1198,4,1568916789,1,3,15,2019-09-19 15:13:09,1323.9062,1251.9537568402136,913.0862788718223,1304.0951,1255.8935472089138,1083.6499217263881,1337.0348,1293.572174240559,1255.7294780116863,1310.0524,1304.762331336181,1217.245813416379,1338.99,1210.1393333171918,1292.9477473922411
1179,4,1568917732,1,3,15,2019-09-19 15:28:52,1323.9062,1251.9537568402136,913.0459393869533,1304.0951,1255.8935472089138,1083.6350512601966,1337.0348,1293.572174240559,1255.741564068132,1310.0524,1304.762331336181,1217.2514639506408,1338.99,1210.1441906063692,1292.9477473922411
1092,4,1568918300,1,3,15,2019-09-19 15:38:20,1323.9062,1251.9537568402136,913.0216415848408,1304.0951,1255.8935472089138,1083.6260942879853,1337.0348,1293.572174240559,1255.7488438985238,1310.0524,1304.762331336181,1217.2548674537793,1338.99,1210.1471163118358,1292.9477473922411
