tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,predicao_xgb_1,predicao_lr_1,predicao_rf_1,predicao_xgb_2,predicao_lr_2,predicao_rf_2,predicao_xgb_3,predicao_lr_3,predicao_rf_3,predicao_xgb_4,predicao_lr_4,predicao_rf_4
1049,2,1568720440,1,2,8,1061.0,1250.0,1053.0,1268.0,1073.394,1078.7258392890067,1092.7833489844495,1068.2555,1132.5005758048917,1106.4089603154537,1070.4319,1106.214688740886,1102.6879745825656,1078.6649,1131.167675989012,1100.0668859853063
1099,2,1568719961,1,2,8,1049.0,1061.0,1250.0,1053.0,1073.394,1072.1449715509361,1088.7797583692197,1068.5895,1063.665927242898,1083.4151707726096,1089.0533,1102.5574319331097,1080.4061906984525,1084.561,1085.01584312785,1083.348871138845
1140,2,1568719826,1,2,8,1099.0,1049.0,1061.0,1250.0,1074.5256,1099.562213373054,1088.193293992029,1076.5541,1077.0785243592588,1083.8406505332732,1063.8138,1067.9614910417984,1083.089652716783,1069.4272,1097.8532231624713,1076.4800566645602
1208,2,1568719182,1,2,8,1140.0,1099.0,1049.0,1061.0,1070.0958,1122.0435907179985,1108.5781402633102,1070.0035,1108.5391472136414,1102.551273109953,1065.6106,1088.457901962918,1100.1155479433185,1061.6067,1077.8252507115008,1097.431719556153
1093,2,1568718454,1,2,8,1208.0,1140.0,1099.0,1049.0,1068.5002,1159.3302628086421,1088.5666517102181,1069.4058,1146.3808244143572,1098.63944211281,1085.0189,1128.5610448949367,1098.261463034941,1100.6642,1107.139948301157,1099.6604540685173
1015,2,1568718368,1,2,8,1093.0,1208.0,1140.0,1099.0,1074.5256,1096.2700408642477,1088.154518548991,1071.8038,1129.3465977733642,1107.8834453582688,1087.4155,1124.830435187139,1112.6196985758784,1084.7888,1112.6527619361882,1110.1889036140603
1098,2,1568717610,1,2,7,1015.0,1093.0,1208.0,1140.0,1059.7865,1045.2056501420348,1084.5801787957764,1066.1416,1055.9836528460335,1082.9584788023385,1081.8707,1085.0718859128312,1077.2888351905667,1079.8313,1086.4368131682077,1085.1604419776118
1137,2,1568717244,1,2,7,1098.0,1015.0,1093.0,1208.0,1066.2341,1090.7180690940509,1092.6670600077362,1058.4078,1058.38743722496,1076.7965741316652,1065.2388,1060.278892543812,1076.7243505359527,1063.5457,1081.6831542685763,1074.0791107743726
1200,2,1568717084,1,2,7,1137.0,1098.0,1015.0,1093.0,1065.6068,1112.1034396655732,1111.9608870954546,1067.0385,1100.4325487391905,1102.4299047638133,1059.266,1072.8332546394083,1103.0884550554822,1057.1726,1070.2471146220519,1102.4366385451376
1157,2,1568716663,1,2,7,1200.0,1137.0,1098.0,1015.0,1064.0112,1146.648806360031,1094.6069437698213,1066.4407,1135.8389934432341,1096.6561009176398,1077.742,1118.9416529254565,1095.111156279327,1095.1292,1091.2097833148277,1093.5827854578713
1131,2,1568716439,1,2,7,1157.0,1200.0,1137.0,1098.0,1065.6068,1123.0694931148928,1101.9058451792562,1061.4515,1142.3182211340165,1111.857669348531,1069.9188,1132.54739547862,1114.1574336599067,1076.0485,1117.3028006919644,1100.1213105919894
991,2,1568715946,1,2,7,1131.0,1157.0,1200.0,1137.0,1065.6068,1108.8117237548195,1109.5519297506003,1066.3965,1118.5050368051877,1112.68647264936,1073.9331,1129.8675953845816,1105.4138464255404,1077.1183,1122.0241466562134,1099.962819529713
1161,2,1568715866,1,2,7,991.0,1131.0,1157.0,1200.0,1057.304,1032.0427931469285,1086.8364102768055,1065.4127,1060.5685411402108,1086.4820266163654,1082.3276,1076.1114111491354,1085.3868924777614,1078.4712,1091.227841415886,1089.1188007877915
1136,2,1568715326,1,2,7,1161.0,991.0,1131.0,1157.0,1065.6068,1125.2612997657461,1100.8693733567372,1062.8756,1072.248948452179,1092.30537956485,1060.2351,1079.9738165133124,1087.6531144153403,1064.9812,1087.4760132348788,1083.4120883668381
866,2,1568714746,1,2,7,1136.0,1161.0,991.0,1131.0,1065.6068,1111.551754957066,1111.7777065755781,1061.4515,1121.623286001354,1119.4730895177722,1071.4954,1082.6107687762394,1108.4164035769406,1068.0875,1085.467363433212,1108.3336883643478
1171,2,1568714107,1,2,6,866.0,1136.0,1161.0,991.0,974.4115,955.2045857464782,996.0895457577548,998.46094,1011.7744079214033,1013.6741538703016,994.2963,1038.7041948784356,1038.4825933557108,981.4047,1018.6692514381816,1039.4841717055917
999,2,1568713855,1,2,6,1171.0,866.0,1136.0,1161.0,1022.7856,1122.4505763169786,1080.9823527123226,998.7965,1026.2942795536571,1057.264114332293,1005.61273,1046.0673568503096,1043.9198315817862,1014.3038,1059.8985730118975,1057.8918840309022
