tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,predicao_xgb,predicao_lr,predicao_rf,Descricao Chuva,Calor,predicao_xgb_clima,predicao_lr_clima,predicao_rf_clima,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,predicao_xgb_1,predicao_lr_1,predicao_rf_1,predicao_xgb_2,predicao_lr_2,predicao_rf_2,predicao_xgb_3,predicao_lr_3,predicao_rf_3,predicao_xgb_4,predicao_lr_4,predicao_rf_4,predicao_xgb 14 79,predicao_rf 14 79,predicao_lr 14 79,predicao_xgb 28 65,predicao_rf 28 65,predicao_lr 28 65,predicao_xgb 42 51,predicao_rf 42 51,predicao_lr 42 51,predicao_xgb 56 37,predicao_rf 56 37,predicao_lr 56 37,predicao_xgb 70 23,predicao_lr 70 23,predicao_rf 70 23
1274,4,1568297897,1,2,11,1226.4059,1132.683919047534,1245.5784124415563,0,2,1228.882,1247.71502737609,1263.124633318654,1531.0,1064.0,981.0,1083.0,1082.3826,1333.1394455908403,1148.0414329506195,1103.0099,1232.295836828371,1126.3790660060574,1080.0795,1167.280567261074,1128.3287294356508,1082.0933,1148.7194078906982,1123.6470004970702,1049.7406,1035.7546622790312,982.02942307356,1041.0302,1003.2140804148208,1166.40421601478,1129.8842,1136.3929780261371,1358.7103133616074,1036.0513,1026.7499143944196,1311.374169335193,1048.8729,1299.6646766320237,1040.6737832700594
1362,4,1568297397,1,2,11,1226.4059,1132.6824083891288,1245.5784124415563,0,2,1228.882,1247.7142712624566,1263.124633318654,1328.0,1531.0,1064.0,981.0,1091.9778,1221.8242550685522,1135.4558370934767,1165.9135,1320.8744971185922,1180.732568383329,1153.0222,1249.8877870318795,1171.4084507051818,1133.1592,1191.6639907501751,1171.929821171973,1049.7406,1035.7546622790312,982.0023447131098,1041.0302,1003.2140804148208,1166.3942340369467,1129.8842,1136.3929780261371,1358.7184262711853,1036.0513,1026.7499143944196,1311.3779623237278,1048.8729,1299.667937145331,1040.6737832700594
1354,4,1568296827,1,2,11,1226.4059,1132.6806862385463,1245.5784124415563,0,2,1228.882,1247.7134092929143,1263.124633318654,1277.0,1328.0,1531.0,1064.0,1091.7845,1193.857846961559,1129.7045854306418,1131.414,1233.5897936979147,1134.2203483423275,1145.3126,1296.4582070878537,1187.2483377065114,1144.3389,1240.1132487877626,1184.7254788431223,1049.7406,1035.7546622790312,981.9646146753076,1041.0302,1003.2140804148208,1166.3803254991071,1129.8842,1136.3929780261371,1358.7297305148604,1036.0513,1026.7499143944196,1311.3832473409257,1048.8729,1299.672480230226,1040.6737832700594
1103,4,1568294902,1,2,10,1148.8143,1116.0316687938748,1175.1104646087265,0,2,1150.5353,1233.272116955052,1227.9421062047463,1218.0,1277.0,1328.0,1531.0,1078.3132,1161.5047848952054,1100.4967248699868,1116.5206,1195.4803681352803,1120.2316438259013,1133.4275,1219.9442543380185,1172.8335643225123,1159.2145,1271.49348881057,1226.952659935232,1046.5249,1013.457651792767,1000.0669051097066,1007.89886,966.2367929562678,1183.7661690323075,1105.9307,1108.7861977578316,1376.4112779202733,1007.4311,1007.813458518802,1328.4132081458647,1021.71826,1316.0085737914424,1034.255571429676
1117,4,1568293829,1,2,10,1148.8143,1116.028426920937,1175.1104646087265,0,2,1150.5353,1233.2704943351944,1227.9421062047463,942.0,1218.0,1277.0,1328.0,1063.6576,1001.86773044668,1086.1363621992537,1068.9761,1071.9030784919555,1088.8870099406386,1077.0297,1113.531010272815,1096.704490826611,1089.3497,1145.1435653342191,1101.2799825810405,1046.5249,1013.457651792767,1000.0393561932142,1007.89886,966.2367929562678,1183.7560135919812,1105.9307,1108.7861977578316,1376.4195318124805,1007.4311,1007.813458518802,1328.4170670473104,1021.71826,1316.0118909645398,1034.255571429676
1165,4,1568293389,1,2,10,1148.8143,1116.0270975415406,1175.1104646087265,0,2,1150.5353,1233.269828955197,1227.9421062047463,988.0,942.0,1218.0,1277.0,1068.6268,1027.0910795355926,1095.453016002385,1048.1504,993.636825776525,1069.6508408862026,1080.164,1042.7670450532216,1078.4910984677056,1082.9849,1080.5056343073693,1083.7619851185127,1046.5249,1013.457651792767,999.9907605889748,1007.89886,966.2367929562678,1183.7380996475586,1105.9307,1108.7861977578316,1376.4340914732677,1007.4311,1007.813458518802,1328.423874053589,1021.71826,1316.0177423754694,1034.255571429676
1083,4,1568292841,1,2,9,1086.986,1099.382240450116,1109.472771355036,0,2,1088.7109,1218.8306189542816,1137.0718748311626,1112.0,988.0,942.0,1218.0,1077.5566,1095.0860344501116,1090.3218729989,1065.1401,1052.8070249130149,1085.255404677253,1045.9497,1021.610808420193,1070.7192168767367,1060.3301,1055.6790397234336,1070.8323019406796,1046.5249,1013.457651792767,999.9619711156848,1007.89886,966.2367929562678,1183.7274868970308,1105.9307,1108.7861977578316,1376.4427170469537,1007.4311,1007.813458518802,1328.4279067254429,1021.71826,1316.0212089243732,1034.255571429676
981,4,1568292512,1,2,9,1086.986,1099.3812464368857,1109.472771355036,0,2,1088.7109,1218.8301214315109,1137.0718748311626,1154.0,1112.0,988.0,942.0,1073.1267,1118.115834681228,1104.4831549998305,1071.1998,1109.9229973116842,1095.4485607332183,1066.3585,1074.6158599004805,1094.8384574228226,1057.2631,1043.9090041468107,1106.35438948607,1020.02075,988.2326368062404,1018.0388515246304,973.2815,931.991927303078,1201.103963455771,1073.1709,1087.8739164489857,1394.131877514439,987.9051,1006.5854752557996,1345.46142682768,997.3085,1332.360362114191,986.9888707196448
1064,4,1568292328,1,2,9,1086.986,1099.380690514593,1109.472771355036,0,2,1088.7109,1218.8298431816936,1137.0718748311626,1084.0,1154.0,1112.0,988.0,1076.425,1079.7310297824815,1090.813647488974,1079.1774,1099.7622588327206,1100.2230048015272,1092.1346,1095.9918520234048,1107.622182928522,1070.4095,1068.0511569426044,1094.604339755312,1020.02075,988.2326368062404,1018.0122864980076,973.2815,931.991927303078,1201.0941707097409,1073.1709,1087.8739164489857,1394.1398366247813,987.9051,1006.5854752557996,1345.465147911218,997.3085,1332.3635608168215,986.9888707196448
1531,4,1568291188,1,2,9,1086.986,1099.3772462134284,1109.472771355036,0,2,1088.7109,1218.828119242609,1137.0718748311626,1035.0,1084.0,1154.0,1112.0,1072.2906,1052.8612434294128,1090.2203405555692,1070.1871,1058.6587097544236,1086.910647906534,1086.2521,1075.497283314444,1093.2586663063491,1080.927,1075.2034730986838,1096.1057055968158,1020.02075,988.2326368062404,1017.970022011228,973.2815,931.991927303078,1201.0785906242745,1073.1709,1087.8739164489857,1394.1524994283536,987.9051,1006.5854752557996,1345.471068089215,997.3085,1332.368649896046,986.9888707196448
1328,4,1568290843,1,2,9,1086.986,1099.3762038591285,1109.472771355036,0,2,1088.7109,1218.827597524202,1137.0718748311626,979.0,1035.0,1084.0,1154.0,1068.6268,1022.1525425329464,1088.3151786218434,1068.7773,1022.283692351835,1079.1677567208362,1070.7631,1031.8267396445733,1085.865389145227,1067.159,1049.1426267647253,1091.9097072458717,1020.02075,988.2326368062404,1017.9289125256036,973.2815,931.991927303078,1201.063436310371,1073.1709,1087.8739164489857,1394.1648161836492,987.9051,1006.5854752557996,1345.47682648097,997.3085,1332.373599901243,986.9888707196448
1277,4,1568290558,1,2,9,1086.986,1099.3753427838385,1109.472771355036,0,2,1088.7109,1218.827166539431,1137.0718748311626,889.0,979.0,1035.0,1084.0,1044.4077,972.800631155622,1088.5796422401258,1039.4935,971.6043728150296,1066.312104745533,1041.3148,982.3890443275864,1070.63973351593,1039.7676,996.4552309006708,1069.5736213365967,863.0627,917.834800057288,591.8195224317315,897.6096,944.7436296742088,790.6555151668581,878.971,947.0888142999638,975.418318683558,855.92004,917.3510579846238,941.5461453016268,1081.7224,944.5502898948398,978.387460463052
1218,4,1568290120,1,2,9,1086.986,1099.3740194470747,1109.472771355036,0,2,1088.7109,1218.826504183888,1137.0718748311626,1247.0,889.0,979.0,1035.0,1088.424,1160.816404384905,1126.9623724747205,1083.0272,1059.532134633623,1097.2126408513882,1061.4585,1034.8788065617648,1083.1421673532366,1061.7686,1029.7180463047653,1086.7026133506238,863.0627,917.834800057288,591.7553984786064,897.6096,944.7436296742088,790.6318769602622,878.971,947.0888142999638,975.4375307711634,855.92004,917.3510579846238,941.5551274340324,1081.7224,944.5580110788042,978.387460463052
942,4,1568289777,1,2,9,1086.986,1099.3729831354085,1109.472771355036,0,2,1088.7109,1218.825985489935,1137.0718748311626,1281.0,1247.0,889.0,979.0,1088.424,1179.4598688484284,1135.986796753209,1077.9202,1193.8642548787443,1142.9948267078407,1085.0945,1111.95789130626,1115.8232337723427,1091.7712,1080.4598708069288,1115.5769505883418,811.2479,849.546229578242,663.5957863130607,827.0044,912.8367782563184,859.9655822505702,856.038,928.3202264205396,1046.334129943727,820.1199,841.630002624869,1009.7546413892468,1042.0605,1009.97087155582,895.7169688674478
988,4,1568289283,1,2,8,1079.7096,1082.7282891950929,1114.2296522972806,0,2,1079.8458,1204.3868571492924,1136.271964826525,1321.0,1281.0,1247.0,889.0,1089.7131,1201.3928546983177,1153.248566925454,1133.9232,1219.5031772593754,1166.3806926612283,1123.4103,1215.9635507104992,1178.3334497077676,1118.9998,1142.1828183071711,1148.3990481941082,814.2539,856.5847118480989,681.6454172502563,865.71155,954.3013561913564,877.3320137542032,901.6296,983.3208940276304,1064.0314545871988,866.5193,866.3196627146259,1026.7919784483493,1086.7975,1026.3133058625062,924.4688603800098
1112,4,1568288799,1,2,8,1079.7096,1082.726826877756,1114.2296522972806,0,2,1079.8458,1204.3861252312947,1136.271964826525,1212.0,1321.0,1281.0,1247.0,1071.5682,1141.6225978965208,1105.8844150558834,1119.1605,1194.995955515575,1107.3171104353787,1110.5773,1205.1662598771295,1140.2298525659403,1103.576,1201.8101122777684,1152.4383649871052,814.2539,856.5847118480989,681.6056766548863,865.71155,954.3013561913564,877.3173640584537,901.6296,983.3208940276304,1064.0433612112065,866.5193,866.3196627146259,1026.79754509345,1086.7975,1026.3180910392266,924.4688603800098
1154,4,1568288601,1,2,8,1079.7096,1082.7262286570276,1114.2296522972806,0,2,1079.8458,1204.3858258102962,1136.271964826525,938.0,1212.0,1321.0,1281.0,1055.1622,991.3749800627738,1082.3089150631697,1065.6919,1061.733352501007,1084.9754777263065,1072.7551,1114.8932102586116,1087.5156387368252,1070.8475,1134.993181133197,1087.5880662050972,814.2539,856.5847118480989,681.578127738394,865.71155,954.3013561913564,877.3072086181273,901.6296,983.3208940276304,1064.0516151034135,866.5193,866.3196627146259,1026.8014039948955,1086.7975,1026.321408212324,924.4688603800098
1084,4,1568288009,1,2,8,1079.7096,1082.7244400374766,1114.2296522972806,0,2,1079.8458,1204.3849305717538,1136.271964826525,886.0,938.0,1212.0,1321.0,1035.9121,962.8601904488067,1088.8325561735287,1009.3613,949.8192060625228,1043.0357043266604,1060.7113,1006.825298935724,1072.7797971510074,1074.5331,1058.2857962112844,1070.075557092184,814.2539,856.5847118480989,681.5537443806388,865.71155,954.3013561913564,877.2982201072809,901.6296,983.3208940276304,1064.0589205670112,866.5193,866.3196627146259,1026.8048194822022,1086.7975,1026.324344219569,924.4688603800098
1035,4,1568287731,1,2,8,1079.7096,1082.7236001114024,1114.2296522972806,0,1,1079.8458,1114.1480300016049,1106.2988106573205,1121.0,886.0,938.0,1212.0,1072.9928,1091.7214560252196,1095.7739489905314,1051.4369,1014.3631945002446,1064.4598087514578,1023.41064,991.0468743777772,1046.0954769013154,1041.4735,1028.8594069611677,1049.9206188474627,902.429,919.4519188603124,699.6363142397313,938.3932,968.1741994197702,894.6767939852143,988.4648,1002.034289044955,1081.746376426319,956.24713,925.3265695946952,1043.8375426374005,1204.5381,1042.6628123410292,1119.2465618030733
979,4,1568287240,1,2,8,1079.7096,1082.722116644849,1114.2296522972806,0,1,1079.8458,1114.1472874980166,1106.2988106573205,1139.0,1121.0,886.0,938.0,1068.4342,1101.5917010358953,1112.9021871931775,1068.2347,1101.0294042556409,1095.9393550855243,1052.6782,1042.1795126785455,1079.383949574792,1047.9232,1016.6175277178968,1094.0777830675513,902.429,919.4519188603124,699.5952475319355,938.3932,968.1741994197702,894.6616554406282,988.4648,1002.034289044955,1081.758680365012,956.24713,925.3265695946952,1043.8432950370734,1204.5381,1042.6677571953378,1119.2465618030733
889,4,1568286417,1,2,8,1079.7096,1082.7196301011136,1114.2296522972806,0,1,1079.8458,1114.1460429349756,1106.2988106573205,1127.0,1139.0,1121.0,886.0,1068.4342,1095.0110858536225,1115.3744923022364,1068.8257,1102.98046472411,1104.8561359246826,1076.9863,1099.245331759116,1107.714010370667,1065.848,1049.3999209406002,1089.5540459616404,902.429,919.4519188603124,699.5466519276815,938.3932,968.1741994197702,894.6437414962056,988.4648,1002.034289044955,1081.7732400257992,956.24713,925.3265695946952,1043.8501020433523,1204.5381,1042.6736086062674,1119.2465618030733
1247,4,1568286046,1,2,8,1079.7096,1082.7185091925776,1114.2296522972806,0,1,1079.8458,1114.1454818986597,1106.2988106573205,1122.0,1127.0,1139.0,1121.0,1072.9928,1092.2689985332722,1097.5863796758397,1074.5918,1097.125088192592,1092.2409876509737,1090.7787,1099.1938568199546,1100.515370190252,1090.2053,1094.620970934625,1104.1934174207206,902.429,919.4519188603124,699.5191030112037,938.3932,968.1741994197702,894.6335860558793,988.4648,1002.034289044955,1081.7814939180062,956.24713,925.3265695946952,1043.853960944798,1204.5381,1042.6769257793649,1119.2465618030733
1281,4,1568285383,1,2,7,1069.7982,1066.0733046497198,1108.6647231602833,0,1,1070.0238,1099.7060979916089,1090.7243153423783,954.0,1122.0,1127.0,1139.0,984.50696,991.8535097490158,1042.0619018972916,988.69965,1029.8486070487954,1057.843487015102,997.33484,1044.1111394464758,1059.7279002488317,1002.29315,1051.8689237607696,1063.9769693678372,1001.552,1052.0739759084638,717.5985073115589,1023.5546,1026.0625165709826,912.0109930043365,1082.101,1125.1386201605164,1099.4698982059235,1037.6881,992.3322123259876,1060.887127514137,1084.722,1059.0157750666783,1064.7081675843494
1321,4,1568285109,1,2,7,1069.7982,1066.072476808914,1108.6647231602833,0,1,1070.0238,1099.7056836413374,1090.7243153423783,1017.0,954.0,1122.0,1127.0,986.5864,1026.3991218649269,1035.8854095555805,976.3873,994.469695031881,1010.894801632938,984.75934,1017.6358320303268,1023.9803047002092,994.19244,1029.2704968700614,1021.3405046660838,1001.552,1052.0739759084638,717.5713006176375,1023.5546,1026.0625165709826,912.0009637185505,1082.101,1125.1386201605164,1099.4780495653104,1037.6881,992.3322123259876,1060.8909384789204,1084.722,1059.0190510326574,1064.7081675843494
