Sentido,Linha,DuraçãoViagem,TotalGiros,KmPerc,Ini,Fim,dia_semana,hora_dia,dia_ano,mes_ano,turno_dia,TotalGirosMean,DuraçãoViagemMean
0,1120,4260,18,31.218,2018-11-14 11:13:00,2018-11-14 12:24:00,3,11,318,11,2,16.5,3600.0
1,1120,3720,22,30.64,2018-11-14 11:23:00,2018-11-14 12:25:00,3,11,318,11,2,16.5,3600.0
0,1120,5220,15,31.218,2018-11-14 12:25:00,2018-11-14 13:52:00,3,12,318,11,2,23.5,4560.0
1,1120,4260,24,30.64,2018-11-14 12:32:00,2018-11-14 13:43:00,3,12,318,11,2,23.5,4560.0
1,1120,4380,14,30.64,2018-11-14 13:38:00,2018-11-14 14:51:00,3,13,318,11,2,15.5,4770.0
0,1120,4560,13,31.218,2018-11-14 13:43:00,2018-11-14 14:59:00,3,13,318,11,2,15.5,4770.0
1,1120,4200,31,30.64,2018-11-14 15:49:00,2018-11-14 16:59:00,3,15,318,11,2,17.5,3840.0
1,1120,4800,35,30.64,2018-11-14 16:52:00,2018-11-14 18:12:00,3,16,318,11,2,17.5,4710.0
0,1120,4500,16,31.218,2018-11-14 16:59:00,2018-11-14 18:14:00,3,16,318,11,2,17.5,4710.0
0,1120,4920,1,31.218,2018-11-14 18:12:00,2018-11-14 19:34:00,3,18,318,11,4,19.0,4440.0
1,1120,4500,32,30.64,2018-11-14 18:29:00,2018-11-14 19:44:00,3,18,318,11,4,19.0,4440.0
1,1120,4080,27,30.64,2018-11-14 19:34:00,2018-11-14 20:42:00,3,19,318,11,4,29.0,4260.0
0,1120,3480,14,31.218,2018-11-17 06:49:00,2018-11-17 07:47:00,6,6,321,11,2,13.0,3960.0
0,1120,4020,8,31.218,2018-11-17 07:28:00,2018-11-17 08:35:00,6,7,321,11,2,3.0,3840.0
1,1120,3300,10,30.64,2018-11-17 08:07:00,2018-11-17 09:02:00,6,8,321,11,2,16.0,3840.0
0,1120,3780,14,31.218,2018-11-17 09:02:00,2018-11-17 10:05:00,6,9,321,11,2,18.0,3900.0
1,1120,4320,9,30.64,2018-11-17 10:00:00,2018-11-17 11:12:00,6,10,321,11,2,12.0,3540.0
0,1120,3480,0,31.218,2018-11-17 11:12:00,2018-11-17 12:10:00,6,11,321,11,2,13.0,3600.0
1,1120,3720,10,30.64,2018-11-17 11:26:00,2018-11-17 12:28:00,6,11,321,11,2,13.0,3600.0
1,1120,5040,13,30.64,2018-11-17 12:36:00,2018-11-17 14:00:00,6,12,321,11,2,11.0,3690.0
0,1120,3540,24,31.218,2018-11-20 06:10:00,2018-11-20 07:09:00,2,6,324,11,2,24.5,4140.0
0,1120,4440,30,31.218,2018-11-20 06:44:00,2018-11-20 07:58:00,2,6,324,11,2,24.5,4140.0
1,1120,3480,2,30.64,2018-11-20 07:11:00,2018-11-20 08:09:00,2,7,324,11,2,5.0,3240.0
0,1120,4680,25,31.218,2018-11-20 08:09:00,2018-11-20 09:27:00,2,8,324,11,2,16.0,3630.0
1,1120,3240,3,30.64,2018-11-20 08:12:00,2018-11-20 09:06:00,2,8,324,11,2,16.0,3630.0
0,1120,4560,21,31.218,2018-11-20 09:06:00,2018-11-20 10:22:00,2,9,324,11,2,18.0,4500.0
1,1120,3960,21,30.64,2018-11-20 10:14:00,2018-11-20 11:20:00,2,10,324,11,2,11.0,3360.0
0,1120,3720,22,31.218,2018-11-20 11:20:00,2018-11-20 12:22:00,2,11,324,11,2,16.0,3660.0
1,1120,3720,9,30.64,2018-11-20 11:25:00,2018-11-20 12:27:00,2,11,324,11,2,16.0,3660.0
1,1120,4680,18,30.64,2018-11-20 12:23:00,2018-11-20 13:41:00,2,12,324,11,2,17.5,4470.0
0,1120,4140,16,31.218,2018-11-20 12:27:00,2018-11-20 13:36:00,2,12,324,11,2,17.5,4470.0
1,1120,3660,18,30.64,2018-11-20 13:38:00,2018-11-20 14:39:00,2,13,324,11,2,12.0,4230.0
0,1120,4260,14,31.218,2018-11-20 13:41:00,2018-11-20 14:52:00,2,13,324,11,2,12.0,4230.0
0,1120,3780,6,31.218,2018-11-20 14:39:00,2018-11-20 15:42:00,2,14,324,11,2,2.0,4680.0
1,1120,3840,31,30.64,2018-11-20 15:51:00,2018-11-20 16:55:00,2,15,324,11,2,31.0,3720.0
1,1120,4440,40,30.64,2018-11-20 16:52:00,2018-11-20 18:06:00,2,16,324,11,2,24.0,4200.0
0,1120,4140,16,31.218,2018-11-20 16:55:00,2018-11-20 18:04:00,2,16,324,11,2,24.0,4200.0
0,1120,3960,13,31.218,2018-11-20 18:06:00,2018-11-20 19:12:00,2,18,324,11,4,19.5,4080.0
1,1120,4320,25,30.64,2018-11-20 18:22:00,2018-11-20 19:34:00,2,18,324,11,4,19.5,4080.0
1,1120,4020,30,30.64,2018-11-20 19:32:00,2018-11-20 20:39:00,2,19,324,11,4,16.0,3960.0
0,1120,3300,17,31.218,2018-11-21 06:10:00,2018-11-21 07:05:00,3,6,325,11,2,27.0,3990.0
0,1120,4140,32,31.218,2018-11-21 06:52:00,2018-11-21 08:01:00,3,6,325,11,2,27.0,3990.0
1,1120,3420,6,30.64,2018-11-21 07:12:00,2018-11-21 08:09:00,3,7,325,11,2,2.0,3480.0
0,1120,4680,24,31.218,2018-11-21 08:09:00,2018-11-21 09:27:00,3,8,325,11,2,14.0,3960.0
1,1120,3180,8,30.64,2018-11-21 08:14:00,2018-11-21 09:07:00,3,8,325,11,2,14.0,3960.0
0,1120,4260,24,31.218,2018-11-21 09:07:00,2018-11-21 10:18:00,3,9,325,11,2,21.0,4560.0
1,1120,4140,13,30.64,2018-11-21 10:15:00,2018-11-21 11:24:00,3,10,325,11,2,21.0,3960.0
1,1120,3720,11,30.64,2018-11-21 11:23:00,2018-11-21 12:25:00,3,11,325,11,2,15.5,3720.0
0,1120,3480,16,31.218,2018-11-21 11:24:00,2018-11-21 12:22:00,3,11,325,11,2,15.5,3720.0
0,1120,3960,17,31.218,2018-11-21 12:25:00,2018-11-21 13:31:00,3,12,325,11,2,17.0,4410.0
1,1120,3960,16,30.64,2018-11-21 12:32:00,2018-11-21 13:38:00,3,12,325,11,2,17.0,4410.0
0,1120,4800,24,31.218,2018-11-21 13:39:00,2018-11-21 14:59:00,3,13,325,11,2,16.0,3960.0
1,1120,3180,10,30.64,2018-11-21 13:39:00,2018-11-21 14:32:00,3,13,325,11,2,16.0,3960.0
0,1120,4260,11,31.218,2018-11-21 14:32:00,2018-11-21 15:43:00,3,14,325,11,2,6.0,3780.0
1,1120,4080,34,30.64,2018-11-21 15:49:00,2018-11-21 16:57:00,3,15,325,11,2,31.0,3840.0
1,1120,4320,20,30.64,2018-11-21 16:50:00,2018-11-21 18:02:00,3,16,325,11,2,28.0,4290.0
0,1120,4260,11,31.218,2018-11-21 16:57:00,2018-11-21 18:08:00,3,16,325,11,2,28.0,4290.0
