Teste,Rota,Modelo,Métrica,Valor
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, partidaTimeStamp]",SP - 33642,RF,Tempo de treino,1.490031
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, partidaTimeStamp]",SP - 33642,RF,Tempo de predição,0.95
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, partidaTimeStamp]",SP - 33642,LR,RRSE,0.9394667994585242
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, partidaTimeStamp]",SP - 33642,LR,MAPE,0.1536074217812383
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, partidaTimeStamp]",SP - 33642,LR,Tempo de treino,0.2
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, partidaTimeStamp]",SP - 33642,LR,Tempo de predição,0.1999
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, partidaTimeStamp]",SP - 33642,XGB,RRSE,0.9112182328881607
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, partidaTimeStamp]",SP - 33642,XGB,MAPE,0.1358753089447607
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, partidaTimeStamp]",SP - 33642,XGB,Tempo de treino,1.513969
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, partidaTimeStamp]",SP - 33642,XGB,Tempo de predição,0.3969
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, partidaTimeStamp]",SP - 33642,RF,RRSE,0.9299211975030187
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, partidaTimeStamp]",SP - 33642,RF,MAPE,0.14936133827703604
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, partidaTimeStamp]",SP - 33642,RF,Tempo de treino,1.372031
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, partidaTimeStamp]",SP - 33642,RF,Tempo de predição,0.87
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, partidaTimeStamp]",SP - 33642,LR,RRSE,0.9444841666535403
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, partidaTimeStamp]",SP - 33642,LR,MAPE,0.15580900249359925
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, partidaTimeStamp]",SP - 33642,LR,Tempo de treino,0.2
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, partidaTimeStamp]",SP - 33642,LR,Tempo de predição,0.2001
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao, Temperatura]",SP - 33642,XGB,RRSE,0.6913120703896043
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao, Temperatura]",SP - 33642,XGB,MAPE,0.10370569816608068
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao, Temperatura]",SP - 33642,XGB,Tempo de treino,1.87999
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao, Temperatura]",SP - 33642,XGB,Tempo de predição,0.4969
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao, Temperatura]",SP - 33642,RF,RRSE,0.705295463293185
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao, Temperatura]",SP - 33642,RF,MAPE,0.1092179736744999
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao, Temperatura]",SP - 33642,RF,Tempo de treino,1.229031
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao, Temperatura]",SP - 33642,RF,Tempo de predição,0.109032
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao, Temperatura]",SP - 33642,LR,RRSE,0.9261222741814066
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao, Temperatura]",SP - 33642,LR,MAPE,0.15477684965979818
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao, Temperatura]",SP - 33642,LR,Tempo de treino,0.2
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Precipitacao, Temperatura]",SP - 33642,LR,Tempo de predição,0.197
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva, Calor]",SP - 33642,XGB,RRSE,0.6906069981472664
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva, Calor]",SP - 33642,XGB,MAPE,0.10162591533714022
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva, Calor]",SP - 33642,XGB,Tempo de treino,1.35969
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva, Calor]",SP - 33642,XGB,Tempo de predição,0.3997
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva, Calor]",SP - 33642,RF,RRSE,0.6976482305529512
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva, Calor]",SP - 33642,RF,MAPE,0.10526225297275625
"2 Teste Clima - [dia_semana, tipo_dia, hora_dia, Chuva, Calor]",SP - 33642,RF,Tempo de treino,0.901012
