data_partida,tempo_viagem,partidaTimeStamp,dia_semana,tipo_dia,hora_dia,turno_dia,qtdDiasAno,Precipitacao,Temperatura,Chuva,Calor,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,tempo_viagem_5
2019-07-01 12:47:00,1140,1561985220,1,1,12,2,182,0.0,24.6,0,1,1920.0,1860.0,1860.0,1260.0,2100.0
2019-07-01 12:48:00,1260,1561985280,1,1,12,2,182,0.0,24.6,0,1,1140.0,1920.0,1860.0,1860.0,1260.0
2019-07-01 12:50:00,1380,1561985400,1,1,12,2,182,0.0,24.6,0,1,1260.0,1140.0,1920.0,1860.0,1860.0
2019-07-01 12:53:00,1560,1561985580,1,1,12,2,182,0.0,24.6,0,1,1380.0,1260.0,1140.0,1920.0,1860.0
2019-07-01 12:54:00,1620,1561985640,1,1,12,2,182,0.0,24.6,0,1,1560.0,1380.0,1260.0,1140.0,1920.0
2019-07-01 12:59:00,1800,1561985940,1,1,12,2,182,0.0,24.6,0,1,1620.0,1560.0,1380.0,1260.0,1140.0
2019-07-01 13:00:00,1320,1561986000,1,1,13,2,182,0.0,24.6,0,1,1800.0,1620.0,1560.0,1380.0,1260.0
2019-07-01 13:07:00,1740,1561986420,1,1,13,2,182,0.0,24.6,0,1,1320.0,1800.0,1620.0,1560.0,1380.0
2019-07-01 13:09:00,1800,1561986540,1,1,13,2,182,0.0,24.6,0,1,1740.0,1320.0,1800.0,1620.0,1560.0
2019-07-01 13:10:00,1140,1561986600,1,1,13,2,182,0.0,24.6,0,1,1800.0,1740.0,1320.0,1800.0,1620.0
2019-07-01 13:13:00,1500,1561986780,1,1,13,2,182,0.0,24.6,0,1,1140.0,1800.0,1740.0,1320.0,1800.0
2019-07-01 13:17:00,1500,1561987020,1,1,13,2,182,0.0,24.6,0,1,1500.0,1140.0,1800.0,1740.0,1320.0
2019-07-01 13:21:00,1860,1561987260,1,1,13,2,182,0.0,24.6,0,1,1500.0,1500.0,1140.0,1800.0,1740.0
2019-07-01 13:29:00,1740,1561987740,1,1,13,2,182,0.0,24.6,0,1,1860.0,1500.0,1500.0,1140.0,1800.0
2019-07-01 13:29:00,960,1561987740,1,1,13,2,182,0.0,24.6,0,1,1740.0,1860.0,1500.0,1500.0,1140.0
2019-07-01 13:29:00,2160,1561987740,1,1,13,2,182,0.0,24.6,0,1,960.0,1740.0,1860.0,1500.0,1500.0
2019-07-01 13:42:00,1680,1561988520,1,1,13,2,182,0.0,25.3,0,2,2160.0,960.0,1740.0,1860.0,1500.0
